Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xxor7.n1                      3.98205e-09
xalu.xxor7.x1.n                    1.99102e-09
xalu.xxor7.n2                              1.8
xalu.xxor7.x2.n                              0
xalu.xor7                                  1.8
xalu.xxor7.x3.n                              0
xalu.not7                          1.99102e-09
xalu.xlogic7.sn                            1.8
xalu.xlogic7.n0                            1.8
xalu.xlogic7.x0.n                            0
xalu.xlogic7.n1                            1.8
xalu.xlogic7.x1.n                      1.34796
xalu.l7                            3.98205e-09
xalu.xlogic7.x2.n                  1.99102e-09
xalu.xunary7.sn                            1.8
xalu.xunary7.n0                    3.98205e-09
xalu.xunary7.x0.n                  1.99102e-09
xalu.xunary7.n1                            1.8
xalu.xunary7.x1.n                            0
xalu.u7                                    1.8
xalu.xunary7.x2.n                            0
